site_id,survey_id,static_descriptors_reef_id (archived field),reef_name,country,state_province_island,city_town,region,coordinates_in_decimal_degree_format,longitude_degrees,longitude_minutes,longitude_seconds,longitude_cardinal_direction,latitude_degrees,latitude_minutes,latitude_seconds,latitude_cardinal_direction,year,date,depth (m),substrate_code,segment_code,total,substrate_recorded_by,errors,what_errors
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,NIA,S4,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,SP,S1,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,SP,S2,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,SP,S3,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,SP,S4,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,RC,S1,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,RC,S2,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,RC,S3,4,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,RC,S4,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,RB,S1,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,RB,S2,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,RB,S3,1,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,RB,S4,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,SD,S1,8,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,SD,S2,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,SD,S3,1,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,SD,S4,11,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,SI,S1,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,SI,S2,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,SI,S3,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,SI,S4,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,OT,S1,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,OT,S2,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,OT,S3,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,OT,S4,0,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,FS,S1,22,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,FS,S2,23,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,FS,S3,24,"",false,""
151c30bb-7927-4a0b-b859-82f2ce301929,65afe76f-af0d-4ef6-b5df-d81ba13aa5e1,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,"Hawaii, Kauai","",Indo-Pacific,"22.231, -159.58",159,34,48.0,W,22,13,51.6,N,1999,21-August-99,2.0,FS,S4,27,"",false,""
6927e049-0c3d-43d8-924b-7e463c8002fe,7022bf88-826a-421f-a4d7-a17195d754f5,157.49.26.8W.21.16.8.0N,Waikiki MLCD/Waikiki Natatorium,United States of America,"Hawaii, Oahu",Honolulu,Indo-Pacific,"21.268889, -157.824111",157,49,26.8,W,21,16,8.0,N,2004,01-May-04,2.0,HC,S1,1,"",false,""
6927e049-0c3d-43d8-924b-7e463c8002fe,7022bf88-826a-421f-a4d7-a17195d754f5,157.49.26.8W.21.16.8.0N,Waikiki MLCD/Waikiki Natatorium,United States of America,"Hawaii, Oahu",Honolulu,Indo-Pacific,"21.268889, -157.824111",157,49,26.8,W,21,16,8.0,N,2004,01-May-04,2.0,HC,S2,3,"",false,""
6927e049-0c3d-43d8-924b-7e463c8002fe,7022bf88-826a-421f-a4d7-a17195d754f5,157.49.26.8W.21.16.8.0N,Waikiki MLCD/Waikiki Natatorium,United States of America,"Hawaii, Oahu",Honolulu,Indo-Pacific,"21.268889, -157.824111",157,49,26.8,W,21,16,8.0,N,2004,01-May-04,2.0,HC,S3,0,"",false,""
6927e049-0c3d-43d8-924b-7e463c8002fe,7022bf88-826a-421f-a4d7-a17195d754f5,157.49.26.8W.21.16.8.0N,Waikiki MLCD/Waikiki Natatorium,United States of America,"Hawaii, Oahu",Honolulu,Indo-Pacific,"21.268889, -157.824111",157,49,26.8,W,21,16,8.0,N,2004,01-May-04,2.0,HC,S4,3,"",false,""
6927e049-0c3d-43d8-924b-7e463c8002fe,7022bf88-826a-421f-a4d7-a17195d754f5,157.49.26.8W.21.16.8.0N,Waikiki MLCD/Waikiki Natatorium,United States of America,"Hawaii, Oahu",Honolulu,Indo-Pacific,"21.268889, -157.824111",157,49,26.8,W,21,16,8.0,N,2004,01-May-04,2.0,HC/B,S1,0,"",false,""
6927e049-0c3d-43d8-924b-7e463c8002fe,7022bf88-826a-421f-a4d7-a17195d754f5,157.49.26.8W.21.16.8.0N,Waikiki MLCD/Waikiki Natatorium,United States of America,"Hawaii, Oahu",Honolulu,Indo-Pacific,"21.268889, -157.824111",157,49,26.8,W,21,16,8.0,N,2004,01-May-04,2.0,HC/B,S2,0,"",false,""
6927e049-0c3d-43d8-924b-7e463c8002fe,7022bf88-826a-421f-a4d7-a17195d754f5,157.49.26.8W.21.16.8.0N,Waikiki MLCD/Waikiki Natatorium,United States of America,"Hawaii, Oahu",Honolulu,Indo-Pacific,"21.268889, -157.824111",157,49,26.8,W,21,16,8.0,N,2004,01-May-04,2.0,HC/B,S3,0,"",false,""
