site_id,survey_id,static_descriptors_reef_id (archived field),reef_name,country,region,year,date,depth (m),substrate_recorded_by,fish_recorded_by,inverts_recorded_by,team_leader,team_scientist
0b00d09e-726e-46f4-8b34-c83cbdb594de,a759ace0-9255-4e7f-b822-a67feb4b9d68,159.26.16.8W.22.13.30.0N,"Anini, Kauai",United States of America,Indo-Pacific,1998,20-June-98,6.0,"","","","",""
273d9c2a-542f-431c-ba86-164c1a22cb04,b034b48c-6d61-426d-ba8f-c916e2ad1b11,155.51.35.0W.19.57.33.0N,Puako End,United States of America,Indo-Pacific,2008,22-August-08,13.3,"","","",Kara Osada-D'Avella,Kara Osada-D'Avella
5d9cccb6-bcee-438d-8bce-b16efbc8803b,b06b0ac3-8ac8-4972-9c96-136283523719,156.1.42.0W.19.40.7.0N,Honokohau/Crescent Beach,United States of America,Indo-Pacific,2008,22-September-08,10.0,"","","",Kara Osada-D'Avella,Kara Osada-D'Avella
c799c9dd-1e1c-4587-b013-dec1d7ac82f8,b3b750f3-f0e6-493b-8c2d-b687e33d62a1,158.11.39.8W.21.26.51.4N,Poka'i Bay (District IV Substation),United States of America,Indo-Pacific,2004,19-June-04,3.0,"","","",Tori Cullins,Christine Evans
007eefec-06ec-4592-bb56-378734ecaabc,b893b9f1-6ba8-43f3-8495-e7d023cc5928,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,United States of America,Indo-Pacific,2007,17-November-07,4.0,"","","",Krista Heide Pierce,Krista Heide Pierce
04c4cc1b-caf0-4f9f-a3fc-2e7bf3c74fc5,b9691f83-1c7a-49f6-8c18-85b068d9f2ea,159.40.11.1W.20.51.31.5N,Puamana Pools,United States of America,Indo-Pacific,2010,07-March-10,6.7,"","","",Jill Quaintance,Jill Quaintance
025290c9-a6aa-464f-878a-4345767df036,bd849374-12d3-4578-b81f-8c805bd01289,157.49.26.8W.21.16.11.1N,Waikiki Small Groin,United States of America,Indo-Pacific,2007,25-March-07,1.0,"","","",Lea Hollingsworth,David Krupp
9335417c-5baf-4166-ba9a-ca6f3500819e,beff50f9-e89b-42f7-b892-a730e19a779b,159.29.53.4W.22.13.7.2N,Princeville West,United States of America,Indo-Pacific,2007,10-June-07,2.0,"","","",Corinne Kane,"Corinne Kane, David Krupp"
5b59b8ac-e8de-4bf3-8681-96fe1729fa63,c2b38d16-2b67-405c-b808-29997f2849c4,157.48.30.0W.21.26.27.0N,He'eia State Park,United States of America,Indo-Pacific,2004,12-December-04,1.0,"","","",Azadeh Ghotaslou,Dave Raney
e8a3c7b5-278b-404e-9ddf-846e92fda0ea,c4b4958c-27c0-4e96-95df-7f7c9f77352b,159.26.48.1W.21.52.13.5N,"Prince Kuhio Beach, Ho'ai Bay",United States of America,Indo-Pacific,2008,29-March-08,3.0,"","","",Linda Kosen,Stephanie Krieger
5fe78e5b-cc11-432e-b233-2fdc181ddeae,c7f11b86-6ade-429c-9e51-bdd54276fcd4,156.26.19.8W.20.41.17.4N,Ulua Beach,United States of America,Indo-Pacific,2001,18-October-01,3.0,"","","",Robin Newbold,Robin Newbold
fa13d44d-f2c5-4cba-b3e1-d475159a5651,ca17b55e-c5bc-40e5-af35-44d1647d4978,157.40.9.6W.21.19.11.2N,Makai Range,United States of America,Indo-Pacific,2008,29-November-08,5.5,"","","",Krista Heide Pierce,Jeff Eble
aec85838-3c3a-4c13-977f-c047750b25e5,ca2c9e42-873c-4f55-a88a-86f09983c83b,157.42.52.2W.21.23.34.4N,Lanikai,United States of America,Indo-Pacific,2004,14-February-04,1.2,"","","",David A  Krupp,David A  Krupp
aef305f6-df62-4ea8-a4dd-b3e2be627741,cb1eaa58-1197-4a96-992d-a87e803672ea,155.58.3.0W.19.34.41.0N,Kahalu'u Snorkel Transect Site,United States of America,Indo-Pacific,1998,29-August-98,1.0,"","","","",""
df74c280-cb98-4996-835e-80edaef85012,d37bdd55-42fa-4526-9018-809442981a22,156.26.58.2W.20.43.30.6N,Kam III (Kameole Beach III),United States of America,Indo-Pacific,2001,17-November-01,8.0,"","","",Robin Newbold,Robin Newbold
312f7b38-9667-4be7-a53a-f7ec5fef2d30,d58ffc55-9077-4320-99de-acb5de561136,157.49.25.6W.21.16.6.4N,Waikiki Small Groin,United States of America,Indo-Pacific,2010,21-February-10,1.7,"","","",Krista Heide Pierce,Krista Heide Pierce
6927e049-0c3d-43d8-924b-7e463c8002fe,d7cc2b21-9654-4023-aa44-cabc71dc3ff9,157.49.26.8W.21.16.8.0N,Waikiki MLCD/Waikiki Natatorium,United States of America,Indo-Pacific,2008,09-March-08,3.0,"","","","Dave Raney, Gary Dietrich",Jeff Eble
0f85f647-a9cb-4df9-b61e-bcd8c6621ab4,d8f6b62a-f5d2-4885-9758-ad04e29a7d05,159.29.59.1W.22.13.12.9N,"Pu'u Poa, Princeville Beach",United States of America,Indo-Pacific,2004,01-August-04,2.5,"","","",Mary Neudorffer,Stephanie Krieger
312f7b38-9667-4be7-a53a-f7ec5fef2d30,dfba4e6c-5ce6-4502-b863-9a25e17b8d5a,157.49.25.6W.21.16.6.4N,Waikiki Small Groin,United States of America,Indo-Pacific,2009,03-May-09,1.7,"","","",Krista Heide Pierce,Jeff Eble
b755766e-3c03-49d4-a3b9-79c23a76a620,e089ae31-4be9-4d70-9471-881c00a8a065,157.49.20.9W.21.15.54.4N,Waikiki Aquarium- Inner Reef,United States of America,Indo-Pacific,2001,22-April-01,1.0,"","","",Dave Raney,Susan Burr
0fa9ef18-bea0-4b60-adbc-a7064c6ed432,e1279a03-d643-407a-9df7-673ecca0a0c9,159.21.21.0W.21.57.12.0N,Nawiliwili Harbor Breakwall,United States of America,Indo-Pacific,2003,05-October-03,1.0,"","","",Paul Clark,""
